Time [s],Channel 2
2.259207200,0
2.760206720,1
2.760918560,0
3.261469760,1
3.262229600,0
3.762740160,1
3.763409120,0
4.263965120,1
4.264668640,0
4.765216800,1
4.765861760,0
5.266398400,1
5.267146880,0
5.767650240,1
5.768278240,0
6.268828320,1
6.269506240,0
6.770040640,1
6.770669760,0
7.271233760,1
7.272186720,0
7.772842240,1
7.773758080,0
8.274438720,1
8.275303520,0
8.775940800,1
8.776816480,0
9.277521600,1
9.278459520,0
9.779101440,1
9.779991680,0
10.280653920,1
10.281621440,0
10.782257440,1
10.783092960,0
11.283716480,1
11.284699840,0
11.785329920,1
11.786200000,0
12.286827200,1
12.287567040,0
12.788138080,1
12.788852000,0
13.289363040,1
13.290105440,0
13.790617440,1
13.791363040,0
14.291936640,1
14.292669760,0
14.793180320,1
14.793842880,0
15.294371840,1
15.295143360,0
15.795668160,1
15.796324320,0
16.296832320,1
16.297558240,0
16.798061760,1
16.798702880,0
17.299204960,1
17.300165120,0
17.800802720,1
17.801720960,0
18.302360160,1
18.303307840,0
18.804027680,1
18.805013920,0
19.305888480,1
19.306744640,0
19.807393760,1
19.808231680,0
20.308864480,1
20.309822080,0
20.810462240,1
20.811280000,0
21.311902880,1
21.312854720,0
21.813488320,1
21.814317920,0
22.314936800,1
22.315920800,0
22.816579520,1
22.817517120,0
23.318146080,1
23.319042080,0
23.819673760,1
23.820656160,0
24.321374080,1
24.322044160,0
24.822472000,1
24.823091040,0
25.323517760,1
25.324254720,0
25.824681280,1
25.825299200,0
26.325726240,1
26.326397920,0
26.826821760,1
26.827407360,0
27.327829120,1
27.328561120,0
27.828993120,1
27.829676320,0
28.330105920,1
28.330844160,0
28.831308320,1
28.832016160,0
29.333266080,1
29.334180800,0
29.834825280,1
29.835688800,0
30.336469440,1
30.337413120,0
30.838118400,1
30.839016960,0
31.339709760,1
31.340658880,0
31.841345440,1
31.842191360,0
32.342901120,1
32.343868640,0
32.844632640,1
32.845446400,0
33.346120640,1
33.347029280,0
33.847866880,1
33.848766240,0
34.349431680,1
34.350066560,0
34.850499520,1
34.851061120,0
35.351476640,1
35.352164640,0
35.852613280,1
35.853155360,0
36.353566720,1
36.354210560,0
36.854640320,1
36.855219040,0
37.355643520,1
37.356369440,0
37.856809120,1
37.857397440,0
38.357811840,1
38.358288480,0
38.858608000,1
38.859072800,0
39.359425920,1
39.360106880,0
39.861551680,1
39.862287840,0
40.364047040,1
40.364718880,0
40.865223040,1
40.865840320,0
41.366386720,1
41.367075840,0
41.867609760,1
41.868333600,0
42.368865440,1
42.369578720,0
42.870101760,1
42.870763360,0
43.371283840,1
43.372218240,0
43.872880960,1
43.873701280,0
44.374591200,1
44.375429920,0
44.876072480,1
44.876907840,0
45.377539840,1
45.378392960,0
45.879032960,1
45.879935840,0
46.380601440,1
46.381457440,0
46.882109920,1
46.883017280,0
47.383718240,1
47.384420640,0
47.884940160,1
47.885643360,0
48.386164320,1
48.386860480,0
48.887392000,1
48.888068640,0
49.389237440,1
49.389709920,0
49.890093440,1
49.890575360,0
50.390961760,1
50.391416640,0
50.891738560,1
50.892220960,0
51.392544640,1
51.393028000,0
51.893334080,1
51.893832640,0
52.394157600,1
52.394866400,0
52.895299840,1
52.895999520,0
53.396458400,1
53.397167360,0
53.897818880,1
53.898550080,0
54.399025280,1
54.399866080,0
54.900566400,1
54.901300320,0
55.401866560,1
55.402572960,0
55.903138240,1
55.903799040,0
56.404359360,1
56.405023520,0
56.905537600,1
56.906192800,0
57.406705120,1
57.407447680,0
57.908028160,1
57.908718560,0
58.409448640,1
58.410178400,0
58.910738240,1
58.911374560,0
59.411904800,1
59.412492160,0
59.912973760,1
59.913930560,0
60.414845760,1
60.415719200,0
60.916357600,1
60.917178240,0
61.417862720,1
61.418766400,0
61.919430560,1
61.920330880,0
62.420975840,1
62.421700640,0
62.922262240,1
62.922966880,0
63.423687520,1
63.424419040,0
63.924963840,1
63.925427040,0
64.446951520,1
64.447384320,0
64.947688800,1
64.948170880,0
65.448500480,1
65.449000640,0
65.949334080,1
65.949759040,0
66.450143040,1
66.450582240,0
66.950905280,1
66.951380160,0
67.451691040,1
67.452401600,0
67.952846080,1
67.953533760,0
68.453989760,1
68.454680960,0
68.955157600,1
68.956155840,0
69.456992000,1
69.457842080,0
69.958477120,1
69.959240800,0
70.459827520,1
70.460767040,0
70.961634720,1
70.962413280,0
71.463082880,1
71.463959360,0
71.964596960,1
71.965432800,0
72.466138240,1
72.467121280,0
72.967880640,1
72.968680160,0
73.469271520,1
73.470193120,0
73.970849920,1
73.971597920,0
74.472142080,1
74.472968960,0
74.973630720,1
74.974421280,0
75.475063680,1
75.476046400,0
75.976722400,1
75.977549600,0
76.478157280,1
76.479084480,0
76.979719520,1
76.980566880,0
77.481171200,1
77.482072480,0
77.982683520,1
77.983571040,0
78.484209760,1
78.485133600,0
78.985775840,1
78.986432000,0
79.486848480,1
79.487502080,0
79.987993280,1
79.988601280,0
80.489014400,1
80.489716640,0
80.990151520,1
80.990742400,0
81.491151040,1
81.491847360,0
81.992285120,1
81.992918720,0
82.493355200,1
82.494047360,0
82.994483200,1
82.995119680,0
83.495537120,1
83.496224160,0
83.996691680,1
83.997607520,0
84.498260800,1
84.499109280,0
84.999757440,1
85.000646240,0
85.501272480,1
85.502187040,0
86.002846240,1
86.003650560,0
86.504311040,1
86.505163040,0
87.005820480,1
87.006750720,0
87.507442560,1
87.508174240,0
88.008700960,1
88.009390720,0
88.509915520,1
88.510636640,0
89.011166400,1
89.011807040,0
89.512262400,1
89.512927680,0
90.013425920,1
90.014059360,0
90.514498720,1
90.515219360,0
91.015763360,1
91.016408320,0
91.516944960,1
91.517767680,0
92.018371040,1
92.019097440,0
92.519625920,1
92.520447840,0
93.021036320,1
93.021869120,0
93.522497440,1
93.523475360,0
94.024196320,1
94.025008800,0
94.525570560,1
94.526405920,0
95.027068000,1
95.027973600,0
95.528564800,1
95.529475040,0
96.030137600,1
96.031003360,0
96.531658880,1
96.532524640,0
97.033172320,1
97.034036480,0
97.534659360,1
97.535399040,0
98.035962400,1
98.036630080,0
98.537132160,1
98.537828640,0
99.038311360,1
99.038812160,0
99.539134080,1
99.539567200,0
100.039882240,1
100.040367520,0
100.540676640,1
100.541146720,0
101.041445280,1
101.041854720,0
101.542153440,1
101.542608960,0
102.042903840,1
102.043342080,0
102.543637120,1
102.544332480,0
103.044763360,1
103.045322880,0
103.545685600,1
103.546378400,0
104.046836000,1
104.047754240,0
104.548401440,1
104.549254080,0
105.049901280,1
105.050807200,0
105.551444800,1
105.552360800,0
106.053008320,1
106.053852960,0
106.554496800,1
106.555361280,0
107.056024320,1
107.056900640,0
107.557526560,1
107.558456320,0
108.059109920,1
108.060014240,0
108.560644160,1
108.561573120,0
109.062221760,1
109.062919520,0
109.563383360,1
109.563986880,0
110.064421600,1
110.065144480,0
110.565585760,1
110.566238080,0
111.066675040,1
111.067358720,0
111.567817600,1
111.568444480,0
112.068872160,1
112.069519680,0
112.569948960,1
112.570651680,0
113.071087360,1
113.071798720,0
113.572235360,1
113.572933920,0
114.073399680,1
114.074360480,0
114.575024000,1
114.575913440,0
115.076678560,1
115.077662560,0
115.578342720,1
115.579200160,0
116.079983040,1
116.080878400,0
116.581535360,1
116.582404000,0
117.083059840,1
117.084130880,0
117.584984160,1
117.585902560,0
118.086565920,1
118.087442560,0
118.588114240,1
118.589038880,0
119.089704960,1
119.090659200,0
119.591363360,1
119.592226560,0
120.092895360,1
120.093853120,0
120.594527680,1
120.595416640,0
121.096076320,1
121.096992960,0
121.597656320,1
121.598512000,0
122.099163360,1
122.100252960,0
122.601001440,1
122.601921760,0
123.102606400,1
123.103517440,0
123.604176800,1
123.605125920,0
124.105807680,1
124.106712960,0
124.607383360,1
124.608268480,0
125.108927360,1
125.109893120,0
125.610563680,1
125.611440000,0
126.112108800,1
126.112978560,0
126.613626720,1
126.614468160,0
127.115112000,1
127.116214400,0
127.616926880,1
127.617676480,0
