Time [s],Channel 2
2.753836320,0
3.254478560,1
3.255148960,0
3.755583680,1
3.756260960,0
4.256684320,1
4.257328960,0
4.757749440,1
4.758344640,0
5.258775520,1
5.259409280,0
5.759828800,1
5.760515200,0
6.260934560,1
6.261575040,0
6.762017120,1
6.762857280,0
7.263508800,1
7.264370080,0
7.764973760,1
7.765711200,0
8.266204160,1
8.266896800,0
8.767386240,1
8.768107200,0
9.268634400,1
9.269314080,0
9.769841760,1
9.770502720,0
10.271023040,1
10.271717920,0
10.772235040,1
10.772970080,0
11.273482240,1
11.274189280,0
11.774711520,1
11.775428000,0
12.275940480,1
12.276653600,0
12.777147840,1
12.777869760,0
13.278297120,1
13.278936800,0
13.779309920,1
13.780039680,0
14.280467200,1
14.281132320,0
14.781565600,1
14.782203200,0
15.282634080,1
15.283308480,0
15.783753600,1
15.784433280,0
16.284854240,1
16.285483200,0
16.785915680,1
16.786566720,0
17.287001760,1
17.287698560,0
17.788153600,1
17.788910560,0
18.289464000,1
18.290235520,0
18.791776000,1
18.792473920,0
19.293188320,1
19.293885600,0
19.794409280,1
19.795069120,0
20.295634400,1
20.296297760,0
20.796817600,1
20.797538880,0
21.298114080,1
21.298744960,0
21.799272320,1
21.799939200,0
22.300533920,1
22.304031200,0
22.804947040,1
22.805667680,0
23.306114080,1
23.306795680,0
23.807222080,1
23.807899360,0
24.308356320,1
24.309034880,0
24.809487040,1
24.810072960,0
25.310512960,1
25.311193120,0
25.811620480,1
25.812301920,0
26.312744320,1
26.313363360,0
26.813807360,1
26.814423200,0
27.314884000,1
27.315889440,0
27.816575200,1
27.817500640,0
28.318382240,1
28.319347520,0
28.820030240,1
28.820893920,0
29.321605600,1
29.322531360,0
29.823187200,1
29.824066880,0
30.324758400,1
30.325646240,0
30.826346560,1
30.827247040,0
31.328068320,1
31.328908960,0
31.829564480,1
31.830382560,0
32.331059840,1
32.332248320,0
32.832968960,1
32.833887680,0
33.334718240,1
33.335675360,0
33.836372160,1
33.837253920,0
34.337895840,1
34.338796480,0
34.839443680,1
34.840317440,0
35.340955520,1
35.341878400,0
35.842759680,1
35.843676320,0
36.344309920,1
36.345195040,0
36.845838880,1
36.846750400,0
37.347564160,1
37.352171680,0
37.856233280,1
37.856931520,0
38.357683040,1
38.358484640,0
38.859094560,1
38.859812480,0
39.360347840,1
39.361068320,0
39.861595360,1
39.862269280,0
40.362793920,1
40.363477600,0
40.864007840,1
40.864750400,0
41.365348960,1
41.365990080,0
41.866511840,1
41.867205600,0
42.367740160,1
42.368276800,0
42.868664480,1
42.869281920,0
43.369804480,1
43.370970400,0
43.871562560,1
43.872170720,0
44.372598880,1
44.373270240,0
44.873695840,1
44.874324480,0
45.374744960,1
45.375447040,0
45.876023680,1
45.876635040,0
46.377059840,1
46.377669920,0
46.878093600,1
46.878711200,0
47.379155520,1
