Time [s],Channel 2
3.450188160,0
3.950658240,1
3.951217600,0
4.451768800,1
4.452317280,0
4.952816800,1
4.953466720,0
5.453976480,1
5.454625920,0
5.955124800,1
5.955805600,0
6.456313280,1
6.456882880,0
6.957385440,1
6.957928640,0
7.458467360,1
7.458910880,0
7.959261920,1
7.959734720,0
8.460088000,1
8.460571360,0
8.960926400,1
8.961352960,0
9.461693440,1
9.462130560,0
9.962475520,1
9.962931520,0
10.463273920,1
10.463704960,0
10.964051680,1
10.966784960,0
11.468496800,1
11.468946720,0
11.969296800,1
11.969767200,0
12.470143360,1
12.470747200,0
12.971276800,1
12.971877280,0
13.472395520,1
13.473058560,0
13.973588160,1
13.974150080,0
14.474669280,1
14.475243040,0
14.975753120,1
14.976393120,0
15.476963520,1
15.477558080,0
15.978131200,1
15.978771360,0
16.479287200,1
16.479899680,0
16.980434240,1
16.981099200,0
17.481616800,1
17.482229280,0
17.982758560,1
17.983442080,0
18.483969920,1
18.484526880,0
18.984949920,1
18.985593280,0
19.486099520,1
19.486727040,0
19.987221280,1
19.987873920,0
20.488378080,1
20.489026560,0
20.989520640,1
20.990057120,0
21.490509280,1
21.491010080,0
21.991423360,1
21.991938080,0
22.492335680,1
22.492679360,0
22.992942720,1
22.993325440,0
23.493652160,1
23.494023040,0
23.994303040,1
23.994665440,0
24.494937440,1
24.495289440,0
24.995552320,1
24.995923200,0
25.496185760,1
25.496489280,0
25.996749440,1
25.997284480,0
26.497631200,1
26.498056480,0
26.998404960,1
26.998877920,0
27.499212160,1
27.499810240,0
28.000356320,1
28.001011040,0
28.501537760,1
28.502171040,0
29.002712800,1
29.003348640,0
29.503869920,1
29.504442880,0
30.004962560,1
30.005597120,0
30.506111200,1
30.506693280,0
31.007220960,1
31.007767360,0
31.508203200,1
31.508656800,0
32.009086880,1
32.009923360,0
32.510417920,1
32.510884320,0
33.011328160,1
33.011864160,0
33.512310720,1
33.512805120,0
34.013226080,1
34.013787360,0
34.514236480,1
34.514677600,0
35.015103520,1
35.015636960,0
35.516061280,1
35.516509440,0
36.016925280,1
36.017611680,0
36.518192320,1
36.518794560,0
37.019307520,1
37.019932800,0
37.520416640,1
37.521027680,0
38.021550880,1
38.022293120,0
38.522831200,1
38.523455200,0
39.023983200,1
39.024607520,0
39.525139040,1
39.525757280,0
40.026310080,1
40.026994720,0
40.527518720,1
40.528125440,0
41.028643360,1
41.029189440,0
41.529629280,1
41.530140960,0
42.030574240,1
42.031111040,0
42.531565760,1
42.532041280,0
43.032469280,1
43.032995040,0
43.533437920,1
43.533938560,0
44.034371360,1
44.034844000,0
44.535274400,1
44.535725440,0
45.036149280,1
45.036677600,0
45.537103360,1
45.537589760,0
46.038059680,1
46.038757920,0
46.539276320,1
46.539856960,0
47.040370720,1
47.040995520,0
47.541455360,1
47.541893120,0
48.042244000,1
48.042794400,0
48.543191520,1
48.543639360,0
49.043987040,1
49.044463040,0
49.544808000,1
49.545249120,0
50.045589600,1
50.046133280,0
50.546480960,1
50.546989760,0
51.047331840,1
51.047770720,0
51.548055200,1
51.548500320,0
52.048843360,1
52.049321440,0
52.549670080,1
52.550257120,0
53.050773920,1
53.051549440,0
53.552121920,1
53.552775200,0
54.053295520,1
54.053877280,0
54.554388160,1
54.554968000,0
55.055481280,1
55.056116000,0
55.556623680,1
55.557272320,0
56.057785440,1
56.058396960,0
56.558861760,1
56.559459520,0
57.059967680,1
57.060588320,0
57.561046080,1
57.561487200,0
58.061848320,1
58.062382560,0
58.562736000,1
58.563238400,0
59.063581600,1
59.064031520,0
59.564380800,1
59.564815200,0
60.065152800,1
60.065670080,0
60.566066080,1
60.566580160,0
61.066928320,1
61.067325760,0
61.567583360,1
61.567901920,0
62.068155040,1
62.068552640,0
62.568826080,1
62.569286560,0
63.069716320,1
63.070259520,0
63.570686880,1
63.571153600,0
64.071577600,1
64.072013920,0
64.572441920,1
64.572906880,0
65.073329600,1
65.073903520,0
65.574327520,1
65.574820800,0
66.075242720,1
66.075938880,0
66.576449920,1
