Time [s],Channel 1,Channel 2
4.805375840,1,1
5.305673760,0,1
5.306000800,0,0
5.806054720,1,0
5.806373280,1,1
6.306373760,0,1
6.306623840,0,0
6.806738880,1,0
6.806982720,1,1
7.307059840,0,1
7.307306400,0,0
7.807327840,1,0
7.807522880,1,1
8.307527200,0,1
8.307706720,0,0
8.807716800,1,0
8.807903520,1,1
9.307911840,0,1
9.308089440,0,0
9.808098080,1,0
9.808288320,1,1
10.308303200,0,1
10.308485280,0,0
10.808520800,1,0
10.808706400,1,1
11.308726400,0,1
11.308993280,0,0
11.808944480,1,0
11.809220640,1,1
12.309140800,0,1
12.309459360,0,0
12.809385920,1,0
12.809746720,1,1
13.309778720,0,1
13.310121760,0,0
13.810161600,1,0
13.810472640,1,1
14.310516000,0,1
14.310851680,0,0
14.810915200,1,0
14.811243040,1,1
15.311295680,0,1
15.311579840,0,0
15.811648320,1,0
15.811984480,1,1
16.311969120,0,1
16.312303200,0,0
16.812304800,1,0
16.812631680,1,1
17.312650720,0,1
17.312989600,0,0
17.812941920,1,0
17.813241440,1,1
18.313200160,0,1
18.313501440,0,0
18.813538080,1,0
18.813876640,1,1
19.313928480,0,1
19.314262560,0,0
19.814336480,1,0
19.814652480,1,1
20.314718560,0,1
20.314957760,0,0
20.815019360,1,0
20.815346880,1,1
21.315344640,0,1
21.315672000,0,0
21.815679680,1,0
21.816000160,1,1
22.316004800,0,1
22.316333760,0,0
22.816294720,1,0
22.816599840,1,1
23.316564000,0,1
23.316877600,0,0
23.816876480,1,0
23.817186720,1,1
24.317189440,0,1
24.317504640,0,0
24.817523520,1,0
24.817853920,1,1
25.317879200,0,1
25.318101120,0,0
25.818169280,1,0
25.818489280,1,1
26.318495680,0,1
26.318747040,0,0
26.818840960,1,0
26.819084800,1,1
27.319170080,0,1
27.319409600,0,0
27.819476640,1,0
27.819696160,1,1
28.319788000,0,1
28.320020320,0,0
28.820121280,1,0
28.820347520,1,1
29.320434240,0,1
29.320680000,0,0
29.820773600,1,0
29.821015680,1,1
30.321110880,0,1
30.321340960,0,0
30.821456000,1,0
30.821669280,1,1
31.321819040,0,1
31.322165760,0,0
31.822159840,1,0
31.822496160,1,1
32.322489280,0,1
32.322847680,0,0
32.822769440,1,0
32.823046080,1,1
33.322977920,0,1
33.323256480,0,0
33.823181760,1,0
33.823469280,1,1
34.323383520,0,1
34.323659040,0,0
34.823577440,1,0
34.823849920,1,1
35.323766720,0,1
35.324032160,0,0
35.823957440,1,0
35.824197760,1,1
36.324135840,0,1
36.324417120,0,0
36.824327200,1,0
36.824637280,1,1
37.324524960,0,1
37.324808800,0,0
37.824786880,1,0
37.825131840,1,1
38.325153920,0,1
38.325475360,0,0
38.825483520,1,0
38.825808480,1,1
39.325869280,0,1
39.326198880,0,0
39.826218880,1,0
39.826546240,1,1
40.326554880,0,1
40.326864640,0,0
40.826890080,1,0
40.827155200,1,1
41.327194240,0,1
41.327526560,0,0
41.827529280,1,0
41.827854080,1,1
42.327861120,0,1
42.328189760,0,0
42.828138880,1,0
