Time [s],Channel 1,Channel 2
4.699826880,1,1
5.199864480,0,1
5.200114400,0,0
5.700124000,1,0
5.700425760,1,1
6.200394720,0,1
6.200665920,0,0
6.700678880,1,0
6.700928960,1,1
7.200855040,0,1
7.201115040,0,0
7.701130880,1,0
7.701391840,1,1
8.201579040,0,1
8.201883520,0,0
8.702036480,1,0
8.702331200,1,1
9.202480800,0,1
9.202788480,0,0
9.702937440,1,0
9.703240960,1,1
10.203462400,0,1
10.203762880,0,0
10.703740000,1,0
10.704043040,1,1
11.204237120,0,1
11.204557120,0,0
11.704640480,1,0
11.704941440,1,1
12.204967520,0,1
12.205277600,0,0
12.705220640,1,0
12.705481920,1,1
13.205407360,0,1
13.205668800,0,0
13.705615360,1,0
13.705873120,1,1
14.205802720,0,1
14.206030240,0,0
14.705980320,1,0
14.706149600,1,1
15.206163680,0,1
15.206331680,0,0
15.706344320,1,0
15.706516320,1,1
16.206524480,0,1
16.206704960,0,0
16.706705600,1,0
16.706875520,1,1
17.206879360,0,1
17.207056000,0,0
17.707131680,1,0
17.707360160,1,1
18.207442560,0,1
18.207668960,0,0
18.707748480,1,0
18.707968160,1,1
19.208054080,0,1
19.208252960,0,0
19.708377600,1,0
19.708687040,1,1
20.208728640,0,1
20.209026720,0,0
20.709020960,1,0
20.709322080,1,1
21.209316480,0,1
21.209637760,0,0
21.709663040,1,0
21.709979040,1,1
22.209977280,0,1
22.210296480,0,0
22.710231520,1,0
22.710488000,1,1
23.210416320,0,1
23.210671680,0,0
23.710604000,1,0
23.710861760,1,1
24.210808640,0,1
24.211008800,0,0
24.710979360,1,0
24.711220000,1,1
25.211180960,0,1
25.211429920,0,0
25.711348480,1,0
25.711600320,1,1
26.211516800,0,1
26.211798400,0,0
26.711726560,1,0
26.711987040,1,1
27.211923680,0,1
27.212195360,0,0
27.712205920,1,0
27.712538240,1,1
28.212570080,0,1
28.212888320,0,0
28.712893280,1,0
28.713206720,1,1
29.213203200,0,1
29.213421600,0,0
29.713453120,1,0
29.713752480,1,1
30.213797920,0,1
30.214103200,0,0
30.714091840,1,0
30.714392320,1,1
31.214391680,0,1
31.214752800,0,0
31.714700480,1,0
31.715018720,1,1
32.215047680,0,1
32.215363360,0,0
32.715350240,1,0
32.715666240,1,1
33.215650400,0,1
33.215978880,0,0
33.715935200,1,0
33.716235520,1,1
34.216216000,0,1
34.216533280,0,0
34.716501920,1,0
34.716717760,1,1
35.216786880,0,1
35.217003680,0,0
35.717052960,1,0
35.717266880,1,1
36.217329760,0,1
36.217580000,0,0
36.717676800,1,0
36.717920320,1,1
37.218050560,0,1
37.218285440,0,0
37.718411360,1,0
37.718658720,1,1
38.218792640,0,1
38.219023680,0,0
38.719098240,1,0
38.719316960,1,1
39.219393760,0,1
39.219631040,0,0
39.719708320,1,0
39.719997600,1,1
40.219994720,0,1
40.220294400,0,0
40.720279520,1,0
40.720609280,1,1
41.220621600,0,1
41.220946880,0,0
41.720930720,1,0
41.721247680,1,1
42.221248960,0,1
42.221563520,0,0
42.721524640,1,0
42.721811840,1,1
43.221815360,0,1
43.222131040,0,0
43.722102880,1,0
43.722392960,1,1
44.222387680,0,1
44.222709600,0,0
44.722697920,1,0
44.722943200,1,1
45.222966560,0,1
45.223259360,0,0
45.723228800,1,0
45.723531360,1,1
46.223509920,0,1
46.223837600,0,0
46.723895040,1,0
46.724193600,1,1
47.224261280,0,1
47.224591200,0,0
47.724557120,1,0
47.724817600,1,1
48.224764160,0,1
48.225020640,0,0
48.724976960,1,0
48.725229440,1,1
49.225191840,0,1
49.225447840,0,0
49.725369440,1,0
49.725545920,1,1
50.225523360,0,1
50.225762880,0,0
50.725697280,1,0
50.725943520,1,1
51.225869760,0,1
51.226141920,0,0
51.726054560,1,0
51.726303680,1,1
52.226235680,0,1
52.226495360,0,0
52.726499360,1,0
52.726805280,1,1
53.226809280,0,1
53.227126560,0,0
53.727119360,1,0
53.727407200,1,1
54.227407520,0,1
54.227723040,0,0
54.727700800,1,0
54.727995840,1,1
55.227992960,0,1
55.228246240,0,0
55.728322080,1,0
55.728616480,1,1
56.228624640,0,1
56.228935040,0,0
56.728926560,1,0
56.729222880,1,1
57.229275040,0,1
57.229593280,0,0
57.729549120,1,0
57.729803840,1,1
58.229762560,0,1
58.230009440,0,0
58.729966080,1,0
58.730220000,1,1
59.230172000,0,1
59.230432640,0,0
59.730377920,1,0
59.730542400,1,1
60.230580160,0,1
60.230728960,0,0
60.730747840,1,0
60.730910880,1,1
61.230919680,0,1
61.231094560,0,0
61.731096960,1,0
61.731262400,1,1
62.231272800,0,1
62.231448800,0,0
62.731515200,1,0
62.731864480,1,1
63.231825600,0,1
63.232054080,0,0
63.732246880,1,0
63.732470240,1,1
64.232567200,0,1
64.232790240,0,0
64.732872320,1,0
64.733160960,1,1
65.233182080,0,1
65.233420000,0,0
65.733709600,1,0
65.733994560,1,1
66.233995680,0,1
66.234306560,0,0
66.734292320,1,0
66.734594720,1,1
67.234668960,0,1
67.234977280,0,0
67.734947680,1,0
67.735193760,1,1
68.235163840,0,1
68.235424000,0,0
68.735376800,1,0
68.735604800,1,1
69.235572160,0,1
69.235828480,0,0
69.735775360,1,0
69.736026080,1,1
70.235978560,0,1
70.236162400,0,0
70.736155840,1,0
70.736398560,1,1
71.236337920,0,1
71.236598080,0,0
71.736521600,1,0
71.736758560,1,1
72.236701120,0,1
72.236948320,0,0
72.736950880,1,0
72.737245600,1,1
73.237269440,0,1
73.237569920,0,0
73.737572800,1,0
73.737865440,1,1
74.237915840,0,1
74.238214400,0,0
74.738266400,1,0
74.738557280,1,1
75.238630720,0,1
75.238942240,0,0
75.738965120,1,0
75.739253600,1,1
76.239286080,0,1
76.239604640,0,0
76.739601280,1,0
76.739886720,1,1
77.239907200,0,1
77.240219360,0,0
77.740240160,1,0
77.740535200,1,1
78.240556160,0,1
78.240857120,0,0
78.740856960,1,0
78.741133600,1,1
79.241141760,0,1
79.241441600,0,0
79.741449440,1,0
79.741667360,1,1
80.241746400,0,1
80.241963520,0,0
80.742028160,1,0
80.742224160,1,1
81.242317600,0,1
81.242550720,0,0
81.742633600,1,0
81.742848640,1,1
82.242922880,0,1
82.243149120,0,0
82.743254560,1,0
82.743483040,1,1
83.243618080,0,1
83.243845120,0,0
83.743940640,1,0
83.744179680,1,1
84.244284000,0,1
84.244506400,0,0
84.744578880,1,0
84.744794720,1,1
85.244936800,0,1
85.245147360,0,0
85.745231840,1,0
85.745408480,1,1
86.245518080,0,1
86.245744960,0,0
86.745824800,1,0
86.746040160,1,1
87.246129760,0,1
87.246355200,0,0
87.746382880,1,0
87.746552160,1,1
88.246570560,0,1
88.246738400,0,0
88.746759360,1,0
88.746919680,1,1
89.246948480,0,1
89.247118720,0,0
89.747141760,1,0
