Time [s],Channel 1,Channel 2
11.977345440,0,1
12.477519680,1,1
12.477685440,1,0
12.977693920,0,0
12.977860640,0,1
13.477845440,1,1
13.477996960,1,0
13.978009920,0,0
13.978163680,0,1
14.478156480,1,1
14.478326400,1,0
14.978320320,0,0
14.978567840,0,1
15.478482080,1,1
15.478638240,1,0
15.978722240,0,0
15.978921440,0,1
16.478988960,1,1
16.479173280,1,0
16.979268320,0,0
16.979459840,0,1
17.479521440,1,1
17.479706720,1,0
17.979785440,0,0
17.979982880,0,1
18.480040960,1,1
18.480213120,1,0
18.980309600,0,0
18.980530400,0,1
19.480613440,1,1
19.480822080,1,0
19.980901920,0,0
19.981149120,0,1
20.482210240,1,1
20.482413760,1,0
20.982507520,0,0
20.982692640,0,1
21.482655040,1,1
21.482819680,1,0
21.982891680,0,0
21.983072960,0,1
22.483137280,1,1
22.483300960,1,0
22.983291680,0,0
22.983469440,0,1
23.483528960,1,1
23.483716800,1,0
23.983784800,0,0
23.983916800,0,1
24.483928480,1,1
24.484045440,1,0
24.984102880,0,0
24.984247520,0,1
25.248000640,1,1
25.248000800,0,1
25.484468000,1,1
25.484607200,1,0
25.984939360,0,0
25.985088000,0,1
26.485189760,1,1
26.485325440,1,0
26.985634560,0,0
26.985760160,0,1
27.486049920,1,1
27.486184960,1,0
27.986336480,0,0
27.986487360,0,1
28.486785120,1,1
28.486977120,1,0
28.987054240,0,0
28.987258720,0,1
29.487466400,1,1
29.487675040,1,0
29.987717600,0,0
29.987966560,0,1
30.488412800,1,1
30.488614240,1,0
30.988877920,0,0
30.989100000,0,1
31.489155680,1,1
31.489336160,1,0
31.989436480,0,0
31.989627840,0,1
32.489685280,1,1
32.489843200,1,0
32.989932640,0,0
32.990120160,0,1
33.490170720,1,1
33.490331040,1,0
33.990415360,0,0
33.990596480,0,1
34.490642720,1,1
34.490816960,1,0
34.990885280,0,0
34.991164160,0,1
35.492308480,1,1
35.492481120,1,0
35.992570560,0,0
35.992759680,0,1
36.492732800,1,1
36.492907840,1,0
36.993152960,0,0
36.993370880,0,1
37.493431360,1,1
37.493612320,1,0
37.993882560,0,0
37.994085600,0,1
38.494360320,1,1
38.494544160,1,0
38.994641440,0,0
38.994835040,0,1
39.495081280,1,1
39.495279840,1,0
39.995582720,0,0
39.995804960,0,1
40.495869600,1,1
40.496013440,1,0
40.996376800,0,0
40.996523200,0,1
41.496840000,1,1
41.496984640,1,0
41.997295840,0,0
41.997444160,0,1
42.497723040,1,1
42.497843200,1,0
42.998155040,0,0
42.998296640,0,1
43.498445760,1,1
43.498587360,1,0
43.998898400,0,0
43.999041280,0,1
44.499176160,1,1
44.499340160,1,0
44.999620000,0,0
44.999801120,0,1
45.500125440,1,1
45.500481280,1,0
46.000603520,0,0
46.000777440,0,1
46.500848160,1,1
46.501003680,1,0
47.001103840,0,0
47.001284480,0,1
47.501363360,1,1
47.501490240,1,0
48.001596000,0,0
48.001766720,0,1
48.501838080,1,1
48.501982720,1,0
49.002093440,0,0
49.002254240,0,1
49.502354560,1,1
49.502520480,1,0
50.002605760,0,0
50.002840640,0,1
50.502947040,1,1
50.503133120,1,0
51.003336320,0,0
51.003554080,0,1
51.503756960,1,1
51.503967840,1,0
52.004047680,0,0
52.004284480,0,1
52.504320160,1,1
52.504518080,1,0
53.004603360,0,0
53.004810720,0,1
53.504931520,1,1
53.505099680,1,0
54.005192000,0,0
54.005408640,0,1
54.505433600,1,1
54.505645280,1,0
55.005659520,0,0
55.005902240,0,1
55.505913120,1,1
55.506070880,1,0
56.006130080,0,0
56.006254080,0,1
56.506302240,1,1
56.506412480,1,0
57.006474720,0,0
57.006603680,0,1
57.506644640,1,1
57.506753600,1,0
58.006814240,0,0
58.006930720,0,1
58.507066560,1,1
58.507175200,1,0
59.007220640,0,0
59.007339680,0,1
59.507450720,1,1
59.507570400,1,0
60.007692000,0,0
60.008749920,0,1
60.507850080,1,1
60.508025440,1,0
61.008293920,0,0
61.008496480,0,1
61.508817440,1,1
61.509027840,1,0
62.009085440,0,0
62.009311520,0,1
62.509390400,1,1
62.509583680,1,0
63.009640640,0,0
63.009829280,0,1
63.510048320,1,1
63.510229920,1,0
64.010321120,0,0
64.010544960,0,1
64.510599040,1,1
64.510808160,1,0
65.011068160,0,0
65.011362080,0,1
65.511331840,1,1
65.511547040,1,0
66.011610560,0,0
