Time [s],Channel 2
0.000000000,0
1.217884160,1
1.218238720,0
1.718578720,1
1.721668640,0
2.222024160,1
2.228544480,0
2.729507360,1
2.732404960,0
3.232777920,1
3.235788000,0
3.736313600,1
3.739648800,0
4.239988000,1
4.245265280,0
4.745615200,1
4.749438240,0
5.249998720,1
5.254159520,0
5.754713440,1
5.758680160,0
6.259428800,1
6.268992320,0
6.769774080,1
6.773584480,0
7.274507360,1
7.279089120,0
7.779696000,1
7.783672160,0
8.284381120,1
8.288376960,0
8.789086560,1
8.792985600,0
9.293676160,1
9.297638880,0
9.798365440,1
9.802329760,0
10.303050880,1
10.306904480,0
10.807607680,1
10.811534720,0
11.312226080,1
11.320953440,0
11.821297120,1
11.824326880,0
12.324742080,1
12.328323840,0
12.828743040,1
12.831604000,0
13.332050880,1
13.334889280,0
13.835285280,1
13.838158080,0
14.338562560,1
14.341402240,0
14.841740160,1
14.844744640,0
15.345073600,1
15.348016960,0
15.848450720,1
15.851303040,0
16.351747360,1
16.356021120,0
16.856748160,1
16.860621920,0
17.361340480,1
17.366116960,0
17.866848160,1
17.870686240,0
18.371476960,1
18.375279520,0
18.875971520,1
18.879799360,0
19.380539840,1
19.384352640,0
19.885059680,1
19.889019840,0
20.389745920,1
20.393616320,0
20.894326720,1
20.898276000,0
21.398983200,1
21.405838720,0
21.906568160,1
21.910531040,0
22.411277120,1
22.417357440,0
22.918076640,1
22.922055200,0
23.422760800,1
23.426654880,0
23.927355200,1
23.931247360,0
24.431934880,1
24.435812160,0
24.936530240,1
24.940450080,0
25.441159200,1
25.445008960,0
25.945720640,1
25.949644000,0
26.451089600,1
26.451952000,0
26.952435520,1
26.955417760,0
27.456006400,1
27.459134560,0
27.959600160,1
27.962564320,0
28.463027840,1
28.465961760,0
28.966426560,1
28.969373440,0
29.469845280,1
29.472794880,0
29.973266720,1
29.976209120,0
30.476646720,1
30.479597280,0
30.980089440,1
30.983044160,0
31.483645440,1
31.487632640,0
31.988732480,1
31.992671200,0
32.493384000,1
32.497628000,0
32.998350720,1
33.002362560,0
33.503067200,1
33.507013280,0
34.007702720,1
34.011706240,0
34.512431840,1
34.516419200,0
35.017138560,1
35.021109280,0
35.521836480,1
35.525799520,0
36.026553760,1
36.035008960,0
36.535862880,1
36.541461120,0
37.042045600,1
37.046092160,0
37.546841120,1
37.550906720,0
38.051477440,1
38.055524480,0
