Time [s],Channel 2
0.000000000,0
3.394676480,1
3.395556160,0
3.896512640,1
3.900480480,0
4.401193440,1
4.407083360,0
4.908163040,1
4.911073280,0
5.411507520,1
5.414490880,0
5.914943520,1
5.917996000,0
6.418421920,1
6.421410240,0
6.921927360,1
6.924888480,0
7.425369600,1
7.428532000,0
7.929154240,1
7.932572160,0
8.432995680,1
8.435969920,0
8.936428000,1
8.939649760,0
9.440178880,1
9.443160000,0
9.943856800,1
9.947760000,0
10.448453920,1
10.452481120,0
10.953163360,1
10.957092800,0
11.457768480,1
11.462059520,0
11.962770880,1
11.966700160,0
12.467410240,1
12.472449920,0
12.973438560,1
12.977517280,0
13.478221120,1
13.482340640,0
13.983070560,1
13.987384000,0
14.488135200,1
14.492134880,0
14.993024480,1
14.996804160,0
15.497558400,1
15.501539200,0
16.002242080,1
16.006129760,0
16.506916000,1
16.510875840,0
17.011436000,1
17.015362880,0
17.515952960,1
17.520497120,0
18.020837920,1
18.023775040,0
18.525086400,1
18.527182400,0
19.028074240,1
19.031046720,0
19.531369280,1
19.534330240,0
20.034650400,1
20.037612320,0
20.537935680,1
20.540909760,0
21.041229920,1
21.044176800,0
21.544497120,1
21.547495680,0
22.047957760,1
22.050920320,0
22.551399840,1
22.554834080,0
23.055552480,1
23.059493280,0
23.560174560,1
23.564550240,0
24.065180960,1
24.069146240,0
24.569994720,1
24.573904480,0
25.074601920,1
25.078470560,0
25.579123840,1
25.583216800,0
26.083940000,1
26.087970400,0
26.588628800,1
26.592593440,0
27.093168480,1
27.097144960,0
27.597674240,1
27.601976320,0
28.102394720,1
28.106424960,0
28.607071360,1
28.611179040,0
29.111658560,1
29.115672800,0
29.616218880,1
29.620183520,0
30.120720000,1
30.124713120,0
30.625257440,1
30.629195520,0
31.129725600,1
31.133892960,0
31.634358880,1
31.638344160,0
32.139026720,1
32.143012640,0
32.643641280,1
32.649988320,0
33.150469440,1
33.153442240,0
33.653875840,1
33.657723360,0
34.158192480,1
34.161149120,0
34.661574240,1
34.664533760,0
35.165001760,1
35.167949760,0
35.668423040,1
35.671370080,0
36.171842080,1
36.174819360,0
36.675558080,1
36.678497920,0
37.178856800,1
37.181805120,0
37.682153600,1
37.685888160,0
38.186459200,1
38.190414720,0
38.690975200,1
38.695631520,0
39.196193440,1
39.200200640,0
39.700762720,1
39.704690560,0
40.205256640,1
40.209209280,0
40.709807680,1
40.713750080,0
41.214298560,1
41.218255040,0
41.718826720,1
41.722785600,0
42.223489440,1
42.227445920,0
42.728421760,1
42.734089760,0
43.234805600,1
43.238704800,0
43.739433280,1
43.744916480,0
44.245611040,1
44.249544640,0
44.750218240,1
44.754159200,0
45.254838720,1
45.258766240,0
45.759441920,1
45.763353120,0
46.264031200,1
46.268213600,0
46.768854560,1
46.772738080,0
47.273424320,1
47.278031840,0
47.779106080,1
47.783646240,0
48.284327200,1
48.288445280,0
48.789112160,1
48.793232640,0
49.294035520,1
49.297888320,0
49.798560640,1
49.802447840,0
50.303154080,1
50.306968000,0
50.807642240,1
50.811522240,0
