Time [s],Channel 2
1.711145280,1
1.711530720,0
2.211914880,1
2.214930080,0
2.715373920,1
2.719003360,0
3.219554080,1
3.222505440,0
3.722884960,1
3.725811040,0
4.226186240,1
4.229817600,0
4.730184160,1
4.733148480,0
5.233552960,1
5.236557920,0
5.736936320,1
5.739871360,0
6.240262720,1
6.244020000,0
6.744580800,1
6.748496960,0
7.249131520,1
7.253122720,0
7.753919520,1
7.758522720,0
8.259150080,1
8.263035040,0
8.763626880,1
8.767435040,0
9.268029760,1
9.271802560,0
9.772410720,1
9.776170240,0
10.276785600,1
10.280683520,0
10.781290880,1
10.785118720,0
11.285910080,1
11.295065120,0
11.795916480,1
11.799915840,0
12.300705120,1
12.304434400,0
12.805026560,1
12.809594080,0
13.310224640,1
13.314166080,0
13.814745920,1
13.818929760,0
14.319508640,1
14.323458560,0
14.824216320,1
14.827990880,0
15.328560160,1
15.332493760,0
15.833156320,1
15.836927680,0
16.337377600,1
16.342349280,0
16.842727680,1
16.845600800,0
17.345963840,1
17.348894080,0
17.849430240,1
17.849875680,0
18.350482720,1
18.353408640,0
18.853766240,1
18.854183520,0
19.354550720,1
19.363653440,0
19.864033600,1
19.866948160,0
20.367310400,1
20.370220160,0
20.870660160,1
20.873547200,0
21.374040160,1
21.377479040,0
21.878001760,1
21.882005600,0
22.382576000,1
22.386764960,0
22.887254400,1
22.891265440,0
23.391844320,1
23.395913600,0
23.896467360,1
23.900470880,0
24.401108160,1
24.405097440,0
24.905656480,1
24.909690880,0
25.410456160,1
25.414325280,0
25.914971200,1
25.918785600,0
26.419472640,1
26.423944480,0
26.924320000,1
26.928521920,0
27.429021760,1
27.435349120,0
27.935770400,1
27.939792640,0
28.440454720,1
28.444160960,0
28.944655360,1
28.948655360,0
29.449325920,1
29.453026560,0
29.953709600,1
29.957419840,0
30.458072480,1
30.461974080,0
30.962578560,1
30.966470880,0
31.467049440,1
31.474345760,0
31.974928640,1
31.978977760,0
32.479560320,1
32.483712640,0
32.984294080,1
32.988284320,0
33.488975680,1
33.492887840,0
33.993477760,1
33.997424320,0
34.498015840,1
34.502155680,0
35.002729440,1
35.007395520,0
35.511610080,1
35.515336800,0
36.016122560,1
36.020003840,0
36.520638240,1
36.526956320,0
37.027345440,1
37.030272320,0
37.530650240,1
37.533608640,0
38.033985760,1
38.036934560,0
38.537321600,1
38.540237280,0
39.040623200,1
39.043557280,0
39.543939680,1
39.546870240,0
40.047254880,1
40.050219200,0
40.550702400,1
40.553608960,0
41.054004000,1
41.056937920,0
41.557361280,1
41.562010400,0
42.062594560,1
42.066549760,0
42.567173280,1
42.571627360,0
43.072212320,1
43.076177120,0
43.576802080,1
43.580748000,0
44.081324800,1
44.085267840,0
44.585835360,1
44.589704640,0
45.090288000,1
45.094350560,0
45.594963200,1
45.598822560,0
46.099406880,1
46.103358080,0
46.604034400,1
46.609267520,0
47.109849920,1
47.113792640,0
47.614369760,1
47.619018400,0
48.119605120,1
48.123435520,0
48.624018560,1
48.627832960,0
49.128417920,1
49.132289920,0
49.632871680,1
49.636655520,0
50.137240160,1
50.141035520,0
50.641518720,1
50.645337920,0
51.145821600,1
51.149612320,0
51.650073920,1
51.655174720,0
52.155469440,1
52.158421120,0
52.658700800,1
52.661741120,0
53.162026720,1
53.164987200,0
53.665265600,1
53.668210240,0
54.168513920,1
54.171449600,0
54.671730560,1
54.674672320,0
55.174983360,1
55.177933440,0
55.678318400,1
55.681261600,0
56.181664000,1
56.184612160,0
56.685004480,1
56.689822720,0
57.190424640,1
57.194344960,0
57.694932800,1
57.701130720,0
58.201722240,1
58.205704160,0
58.706287840,1
58.710215200,0
59.210812320,1
59.214805600,0
59.715405440,1
59.719576160,0
60.220401920,1
60.225447680,0
60.726176000,1
60.729176160,0
61.229556000,1
61.234610880,0
61.735078400,1
61.741471680,0
62.241849120,1
62.246846720,0
62.747208160,1
62.750800800,0
63.251100000,1
63.254028160,0
63.754329280,1
63.757247840,0
64.257604480,1
64.260604480,0
64.760968160,1
64.763869280,0
65.264168000,1
65.267285440,0
65.768086240,1
65.772145760,0
66.272783360,1
66.283162880,0
66.783884320,1
66.787760320,0
67.288446080,1
67.292374080,0
67.793013440,1
67.797269600,0
68.297755200,1
68.301736800,0
68.802218720,1
68.806163680,0
69.306986880,1
69.310932800,0
69.811416000,1
69.815412960,0
70.315892160,1
70.319839200,0
70.820323680,1
70.824359200,0
71.324824320,1
71.330739200,0
71.831102720,1
71.834021280,0
72.334305600,1
72.337308320,0
72.837594880,1
72.840550560,0
73.340940480,1
73.343868320,0
73.844257920,1
73.847180640,0
74.347565440,1
74.350501600,0
74.850889760,1
74.853845920,0
75.354214720,1
75.357331040,0
75.857612160,1
75.860590240,0
76.360904960,1
76.366516320,0
76.866992160,1
76.871046240,0
77.371511360,1
77.377219840,0
77.877668480,1
77.881928960,0
78.382393440,1
78.386940960,0
78.887730400,1
78.891864320,0
79.392381600,1
79.396540160,0
79.897020000,1
79.901024480,0
80.401494720,1
80.405324640,0
80.905874880,1
80.909787840,0
81.410356000,1
81.416443840,0
81.916806880,1
81.919771840,0
82.420155040,1
82.423373760,0
82.923747520,1
82.926776160,0
83.427171040,1
83.430127520,0
83.930500160,1
83.933467360,0
84.433839680,1
84.436807680,0
84.937171040,1
84.940151840,0
85.440553760,1
85.443586080,0
85.943968000,1
85.946935200,0
