Time [s],Channel 1,Channel 2
0.000000000,1,1
2.979067200,0,1
2.979283840,0,0
3.482741920,1,0
3.482946880,1,1
3.982948640,0,1
3.983120160,0,0
4.483083520,1,0
4.483239360,1,1
4.983204160,0,1
4.983357120,0,0
5.483328960,1,0
5.483491200,1,1
5.983451360,0,1
5.983606560,0,0
6.483567200,1,0
6.483717920,1,1
6.983686560,0,1
6.983836000,0,0
7.483790240,1,0
7.483940960,1,1
7.983910400,0,1
7.984211200,0,0
8.484036640,1,0
8.484193760,1,1
8.984194080,0,1
8.984410080,0,0
9.484404960,1,0
9.484609760,1,1
9.984603360,0,1
9.984773760,0,0
10.484784160,1,0
10.484985440,1,1
10.984989440,0,1
10.985174880,0,0
11.485174720,1,0
11.485363680,1,1
11.985370400,0,1
11.985573600,0,0
12.485563520,1,0
12.485755840,1,1
12.985755840,0,1
12.985956000,0,0
13.485953440,1,0
13.486158720,1,1
13.986153760,0,1
13.986357440,0,0
14.486350720,1,0
14.486558080,1,1
14.986557120,0,1
14.986748960,0,0
15.486751040,1,0
15.486955840,1,1
15.986956320,0,1
15.987143200,0,0
16.487147840,1,0
16.487355360,1,1
16.987340480,0,1
16.987522880,0,0
17.487512480,1,0
17.487709120,1,1
17.987710240,0,1
17.988028480,0,0
18.487899040,1,0
18.488097600,1,1
18.988092960,0,1
18.988272800,0,0
19.488255520,1,0
19.488456800,1,1
19.988446560,0,1
19.988626560,0,0
20.488628000,1,0
20.488834080,1,1
20.988829760,0,1
20.989035200,0,0
21.489016480,1,0
21.489214880,1,1
21.989215680,0,1
21.989420800,0,0
22.489402080,1,0
22.489594400,1,1
22.989582400,0,1
22.989758400,0,0
23.489740960,1,0
23.489941600,1,1
23.989939840,0,1
23.990131520,0,0
24.490118400,1,0
24.490320000,1,1
24.990306560,0,1
24.990463520,0,0
25.490463680,1,0
25.490671360,1,1
25.990666400,0,1
25.990851840,0,0
26.490854240,1,0
26.491054720,1,1
26.991062880,0,1
26.991257440,0,0
27.491247520,1,0
27.491443840,1,1
27.991443200,0,1
27.991654560,0,0
28.491622560,1,0
28.491823840,1,1
28.991815040,0,1
28.991991680,0,0
29.491980800,1,0
29.492185280,1,1
29.992203200,0,1
29.992383200,0,0
30.492385440,1,0
30.492594240,1,1
30.992621760,0,1
30.992802400,0,0
31.492808800,1,0
31.493008320,1,1
31.993017600,0,1
31.993210560,0,0
32.493210400,1,0
32.493406080,1,1
32.993415840,0,1
32.993588000,0,0
33.493581600,1,0
33.493788320,1,1
33.993775520,0,1
33.993959040,0,0
34.493949600,1,0
34.494153600,1,1
34.994145760,0,1
34.994298080,0,0
35.494302240,1,0
35.494517120,1,1
35.994514240,0,1
35.994700960,0,0
36.494708160,1,0
36.494933120,1,1
36.994937600,0,1
36.995112800,0,0
37.495099680,1,0
37.495284960,1,1
37.995311040,0,1
37.995491520,0,0
38.495484480,1,0
38.495684320,1,1
38.995680960,0,1
38.995861120,0,0
39.495848160,1,0
39.496059520,1,1
39.996044960,0,1
39.996211520,0,0
40.496214880,1,0
40.496420640,1,1
40.996416800,0,1
40.996605440,0,0
41.496602880,1,0
41.496800800,1,1
41.996829280,0,1
41.997035840,0,0
42.497009760,1,0
42.497195520,1,1
42.997191680,0,1
42.997488160,0,0
43.497349120,1,0
43.497541600,1,1
43.997540960,0,1
43.997729920,0,0
44.497720640,1,0
44.497927040,1,1
44.997917440,0,1
44.998082400,0,0
45.498082080,1,0
45.498280480,1,1
45.998285120,0,1
45.998471520,0,0
46.498472320,1,0
46.498664000,1,1
46.998662240,0,1
46.998881120,0,0
47.498869600,1,0
47.499061440,1,1
47.999060320,0,1
47.999254240,0,0
48.499248160,1,0
48.499445760,1,1
48.999440160,0,1
48.999613600,0,0
49.499600960,1,0
49.499800800,1,1
49.999789440,0,1
49.999968320,0,0
50.499967680,1,0
50.500169920,1,1
51.000167360,0,1
51.000359680,0,0
51.500359040,1,0
51.500550080,1,1
52.000552320,0,1
52.000747040,0,0
52.500732000,1,0
52.500913280,1,1
53.000911200,0,1
53.001082720,0,0
53.501068160,1,0
53.501275040,1,1
54.001267360,0,1
54.001467840,0,0
54.501459360,1,0
54.501665280,1,1
55.001648000,0,1
55.001816640,0,0
55.501801120,1,0
55.502004480,1,1
56.001996800,0,1
56.002187520,0,0
56.502173440,1,0
56.502365120,1,1
57.002367360,0,1
57.002555520,0,0
57.502535360,1,0
57.502742400,1,1
58.002772320,0,1
58.002961920,0,0
58.502951520,1,0
58.503154400,1,1
59.003147200,0,1
59.003324320,0,0
59.503306240,1,0
59.503507520,1,1
60.003496800,0,1
60.003824000,0,0
60.503680000,1,0
60.503885920,1,1
61.003882400,0,1
61.004072800,0,0
61.504072000,1,0
61.504267360,1,1
62.004266080,0,1
62.004457120,0,0
62.504438560,1,0
62.504628320,1,1
63.004624480,0,1
63.004796960,0,0
63.504783840,1,0
63.504989120,1,1
64.004976000,0,1
64.005158560,0,0
64.505141440,1,0
64.505345120,1,1
65.005324480,0,1
65.005494080,0,0
65.505481280,1,0
65.505686080,1,1
66.005678720,0,1
66.005880000,0,0
66.505864800,1,0
66.506055040,1,1
67.006045280,0,1
67.006223040,0,0
67.506202080,1,0
67.506397120,1,1
68.006380000,0,1
68.006563520,0,0
68.506596960,1,0
68.506798880,1,1
69.006793120,0,1
69.006965920,0,0
69.506949440,1,0
69.507154080,1,1
70.007142080,0,1
70.007321760,0,0
70.507309440,1,0
70.507515680,1,1
71.007511680,0,1
71.007700320,0,0
71.507691040,1,0
71.507879840,1,1
72.007881920,0,1
72.008072800,0,0
72.508056320,1,0
72.508360480,1,1
73.008241760,0,1
73.008408320,0,0
73.508398560,1,0
73.508607360,1,1
74.008593920,0,1
74.008778080,0,0
74.508763520,1,0
74.508971040,1,1
75.008955840,0,1
75.009124480,0,0
75.509119840,1,0
75.509327840,1,1
76.009321280,0,1
76.009513600,0,0
76.509501920,1,0
76.509688960,1,1
77.009685440,0,1
77.009864800,0,0
77.509843040,1,0
77.510038880,1,1
78.010028480,0,1
78.010211200,0,0
78.510200480,1,0
78.510406880,1,1
79.010391200,0,1
79.010562880,0,0
79.510544640,1,0
