Time [s],Channel 1,Channel 2
4.344820960,0,0
4.844804640,1,0
4.844946560,1,1
5.344949440,0,1
5.345095040,0,0
5.845077440,1,0
5.845216000,1,1
6.345214240,0,1
6.345367680,0,0
6.845348480,1,0
6.845486560,1,1
7.345475680,0,1
7.345617920,0,0
7.845588160,1,0
7.845722240,1,1
8.345760320,0,1
8.345962240,0,0
8.845960640,1,0
8.849824800,1,1
9.346110880,0,1
9.346276480,0,0
9.846319520,1,0
9.846500000,1,1
10.346534240,0,1
10.346714080,0,0
10.846724640,1,0
10.846900800,1,1
11.346938080,0,1
11.347127360,0,0
11.847159520,1,0
11.847349280,1,1
12.347378400,0,1
12.347562080,0,0
12.847578080,1,0
12.847756480,1,1
13.347783840,0,1
13.347967040,0,0
13.847996320,1,0
13.848181920,1,1
14.348211680,0,1
14.348398240,0,0
14.848424800,1,0
14.848605120,1,1
15.348644800,0,1
15.348833760,0,0
15.848855360,1,0
15.849044960,1,1
16.349083360,0,1
16.349283520,0,0
16.849312640,1,0
16.849502560,1,1
17.349527520,0,1
17.349714880,0,0
17.849746240,1,0
17.849967840,1,1
18.349988960,0,1
18.350189760,0,0
18.850235520,1,0
18.850426560,1,1
19.350451200,0,1
19.350630720,0,0
19.850672960,1,0
19.850853760,1,1
20.350885920,0,1
20.351068480,0,0
20.851084160,1,0
20.851263200,1,1
21.351300160,0,1
21.351495840,0,0
21.851508800,1,0
21.851687840,1,1
22.351708160,0,1
22.351885440,0,0
22.851889280,1,0
22.852065120,1,1
23.352090720,0,1
23.352272800,0,0
23.852320640,1,0
23.852510720,1,1
24.352531840,0,1
24.352706720,0,0
24.852723520,1,0
24.852909600,1,1
25.352952320,0,1
25.353139040,0,0
25.853148320,1,0
25.853333600,1,1
26.353371680,0,1
26.353572320,0,0
26.853594240,1,0
26.853774880,1,1
27.353802880,0,1
27.353979040,0,0
27.853985920,1,0
27.854170240,1,1
28.354193280,0,1
28.354383680,0,0
28.854408960,1,0
28.854598560,1,1
29.354631680,0,1
29.354797920,0,0
29.854808000,1,0
29.854988800,1,1
30.355032480,0,1
30.355217440,0,0
30.855228160,1,0
30.855411040,1,1
31.355492800,0,1
31.355689440,0,0
31.855709920,1,0
31.855891040,1,1
32.355922240,0,1
32.356099040,0,0
32.856107520,1,0
32.856287200,1,1
33.356316160,0,1
33.356497920,0,0
33.856514240,1,0
33.856704960,1,1
34.356722880,0,1
34.356908800,0,0
34.856930560,1,0
34.857110720,1,1
35.357157280,0,1
35.357345440,0,0
35.857368480,1,0
35.857546560,1,1
36.357575680,0,1
36.357770880,0,0
36.857813760,1,0
36.858000800,1,1
37.358018720,0,1
37.358188480,0,0
37.858202560,1,0
37.858390880,1,1
38.358415520,0,1
38.358601600,0,0
38.858623680,1,0
38.858815040,1,1
39.358839360,0,1
39.359011040,0,0
39.859023040,1,0
39.859204320,1,1
40.359248640,0,1
40.359458240,0,0
40.859487360,1,0
40.859667360,1,1
41.359715840,0,1
41.359908000,0,0
41.859929760,1,0
41.860112640,1,1
42.360127360,0,1
42.360300960,0,0
42.860317120,1,0
42.860501280,1,1
43.360529120,0,1
43.360710720,0,0
43.860727360,1,0
43.860924000,1,1
44.360938400,0,1
44.361112000,0,0
44.861127680,1,0
44.861316000,1,1
45.361358080,0,1
45.361545760,0,0
45.861569280,1,0
45.861746880,1,1
46.361790400,0,1
46.361986400,0,0
46.862012160,1,0
46.862195200,1,1
47.362223200,0,1
47.362397280,0,0
47.862402560,1,0
47.862587680,1,1
48.362612640,0,1
48.362802080,0,0
48.862824000,1,0
48.863015840,1,1
49.363031360,0,1
49.363201920,0,0
49.863246240,1,0
49.863425440,1,1
50.363475360,0,1
50.363662880,0,0
50.863670880,1,0
50.863852320,1,1
51.363889440,0,1
51.364084800,0,0
51.864103680,1,0
51.864286880,1,1
52.364306880,0,1
52.364482080,0,0
52.864501920,1,0
52.864684640,1,1
53.364709760,0,1
53.364886560,0,0
53.864942720,1,0
53.865129280,1,1
54.365148960,0,1
54.365323680,0,0
54.865337920,1,0
54.865523680,1,1
55.365567520,0,1
55.365754560,0,0
55.865762560,1,0
55.865941440,1,1
56.365980160,0,1
56.366180960,0,0
56.866211040,1,0
56.866390720,1,1
57.366412960,0,1
57.366581600,0,0
57.866596000,1,0
57.866783840,1,1
58.366806720,0,1
58.366993280,0,0
58.867016800,1,0
58.867212800,1,1
59.367278880,0,1
59.367453760,0,0
59.867477280,1,0
59.867662560,1,1
60.367703680,0,1
60.367890720,0,0
60.867903200,1,0
60.868086240,1,1
61.368125440,0,1
61.368325120,0,0
61.868343520,1,0
61.868526400,1,1
62.368574880,0,1
62.368752480,0,0
62.868775200,1,0
62.868951040,1,1
63.368988640,0,1
63.369175680,0,0
63.869219200,1,0
63.869410400,1,1
64.369439840,0,1
64.369625440,0,0
64.869645920,1,0
64.869828640,1,1
65.369864800,0,1
65.370057760,0,0
65.870075680,1,0
65.870251680,1,1
66.370291520,0,1
66.370491200,0,0
66.870514880,1,0
66.870702560,1,1
67.370729440,0,1
67.370905760,0,0
67.870917760,1,0
67.871106720,1,1
68.371126720,0,1
68.371313920,0,0
68.871352960,1,0
68.871547520,1,1
69.371554720,0,1
69.371715040,0,0
69.871738560,1,0
69.871921280,1,1
70.371964960,0,1
70.372149760,0,0
70.872168800,1,0
70.872349760,1,1
71.372394400,0,1
71.372602560,0,0
71.872628000,1,0
71.872815040,1,1
72.372830400,0,1
72.373008000,0,0
72.873032160,1,0
72.873213920,1,1
73.373237600,0,1
73.373423200,0,0
73.873446400,1,0
73.873634560,1,1
74.373647360,0,1
74.373821440,0,0
74.873854560,1,0
74.874041280,1,1
75.374115520,0,1
75.374298880,0,0
75.874313760,1,0
75.874497440,1,1
76.374547520,0,1
76.374746560,0,0
76.874770560,1,0
76.874951680,1,1
77.375023200,0,1
77.375192160,0,0
77.875210240,1,0
77.875404800,1,1
78.375453920,0,1
78.375645920,0,0
78.875664000,1,0
78.875854560,1,1
79.375884640,0,1
79.376059200,0,0
79.876083840,1,0
79.876267200,1,1
80.376341600,0,1
80.376525600,0,0
80.876540160,1,0
80.876720000,1,1
81.376765760,0,1
81.376960640,0,0
81.876983520,1,0
81.877168960,1,1
82.377199520,0,1
82.377377280,0,0
82.877385600,1,0
82.877571840,1,1
83.377610240,0,1
83.377796640,0,0
83.877831520,1,0
83.878028160,1,1
84.378045760,0,1
84.378217920,0,0
84.878236640,1,0
84.878420320,1,1
85.378490560,0,1
85.378674240,0,0
85.878690720,1,0
85.878873280,1,1
86.378951680,0,1
86.379155040,0,0
86.879180960,1,0
86.879362080,1,1
87.379387200,0,1
87.379556000,0,0
87.879564640,1,0
87.879750400,1,1
88.379772640,0,1
88.379957600,0,0
88.879983040,1,0
88.880174080,1,1
89.380188160,0,1
89.380350560,0,0
89.880367840,1,0
89.880549600,1,1
90.380592640,0,1
90.380778720,0,0
90.880796480,1,0
90.880979520,1,1
91.381030240,0,1
91.381231840,0,0
91.881254240,1,0
91.881439040,1,1
92.381480320,0,1
92.381660160,0,0
92.881668640,1,0
92.881848640,1,1
93.381898880,0,1
93.382082720,0,0
93.882100800,1,0
93.882288480,1,1
94.382313760,0,1
94.382488480,0,0
94.882506560,1,0
94.882688480,1,1
95.382763680,0,1
95.382975520,0,0
95.883005600,1,0
95.883186080,1,1
96.383240480,0,1
96.383437920,0,0
96.883463360,1,0
96.883653760,1,1
97.383690880,0,1
97.383859680,0,0
97.883876960,1,0
97.884058560,1,1
98.384109760,0,1
98.384297600,0,0
98.884324320,1,0
98.884514720,1,1
99.384543040,0,1
99.384718720,0,0
99.884745280,1,0
99.884929280,1,1
100.385001760,0,1
100.385186720,0,0
100.885204000,1,0
100.885383520,1,1
101.385429600,0,1
101.385625920,0,0
101.885657600,1,0
101.885836160,1,1
102.385866880,0,1
102.386045280,0,0
102.886056960,1,0
102.886240160,1,1
103.386293440,0,1
103.386478880,0,0
103.886500320,1,0
103.886688160,1,1
104.386713600,0,1
104.386908160,0,0
