Time [s],Channel 1,Channel 2
0.000000000,0,0
2.234539680,1,0
2.234639680,1,1
2.734717120,0,1
2.734828480,0,0
3.234858240,1,0
3.234970720,1,1
3.735018080,0,1
3.735150880,0,0
4.235165280,1,0
4.235258720,1,1
4.735307040,0,1
4.735417920,0,0
5.235451840,1,0
5.235556320,1,1
5.735597280,0,1
5.735695680,0,0
6.235725760,1,0
6.235847200,1,1
6.735862880,0,1
6.735980480,0,0
7.236011520,1,0
7.236113440,1,1
7.736148320,0,1
7.736261280,0,0
8.236281440,1,0
8.236374400,1,1
8.736414720,0,1
8.736538080,0,0
9.236548480,1,0
9.236644640,1,1
9.736684960,0,1
9.736795520,0,0
10.236830720,1,0
10.236936640,1,1
10.736970720,0,1
10.737072960,0,0
11.237103680,1,0
11.237221920,1,1
11.737231040,0,1
11.737324160,0,0
12.237356960,1,0
12.237446880,1,1
12.737482080,0,1
12.737590720,0,0
13.237620960,1,0
13.237719040,1,1
13.737752960,0,1
13.737859680,0,0
14.237874080,1,0
14.237973440,1,1
14.738012000,0,1
14.738117920,0,0
15.238153920,1,0
15.238258880,1,1
15.738302400,0,1
15.738428000,0,0
16.238481280,1,0
16.238606560,1,1
16.738626560,0,1
16.738724480,0,0
17.238763520,1,0
17.238857280,1,1
17.738902080,0,1
17.739003520,0,0
18.239045440,1,0
18.239143360,1,1
18.739185120,0,1
18.739297440,0,0
19.239313440,1,0
19.239412640,1,1
19.739455040,0,1
19.739576640,0,0
20.239598560,1,0
20.239698240,1,1
20.739745760,0,1
20.739844160,0,0
21.239876000,1,0
21.240001440,1,1
21.740008800,0,1
21.740101120,0,0
22.240134720,1,0
22.240228800,1,1
22.740273440,0,1
22.740376800,0,0
23.240406400,1,0
23.240507360,1,1
23.740540160,0,1
23.740645920,0,0
24.240655680,1,0
24.240752320,1,1
24.740790560,0,1
24.740892320,0,0
25.240926080,1,0
25.241024800,1,1
25.741073440,0,1
25.741167200,0,0
26.241200960,1,0
26.241320480,1,1
26.741342240,0,1
26.741450080,0,0
27.241475040,1,0
27.241571200,1,1
27.741612160,0,1
27.741718400,0,0
28.241744960,1,0
28.241843840,1,1
28.741887520,0,1
28.742006880,0,0
29.242022240,1,0
29.242127040,1,1
29.742176320,0,1
29.742290400,0,0
30.242361440,1,0
30.242461440,1,1
30.742504480,0,1
30.742615040,0,0
31.242644800,1,0
31.242774240,1,1
31.742797440,0,1
31.742897280,0,0
32.242923200,1,0
32.243012000,1,1
32.743049440,0,1
32.743163520,0,0
33.243180800,1,0
33.243282080,1,1
33.743314720,0,1
33.743420800,0,0
34.243434560,1,0
34.243529440,1,1
34.743573920,0,1
34.743687840,0,0
35.243715840,1,0
35.243818880,1,1
35.743853760,0,1
35.743963680,0,0
36.243980800,1,0
36.244101760,1,1
36.744114400,0,1
36.744224800,0,0
37.244252160,1,0
37.244345280,1,1
37.744377760,0,1
37.744486880,0,0
38.244512800,1,0
38.244610080,1,1
38.744646080,0,1
38.744762560,0,0
39.244779520,1,0
39.244876800,1,1
39.744918240,0,1
